id,yield
15289,4290.96488
15290,5911.49359
15291,7267.28344
15292,4546.78674
15293,3837.51296
15294,5124.8549
15295,7184.01384
15296,6467.65476
15297,8263.28974
15298,4254.82514
15299,5791.45673
15300,5773.00842
15301,5535.05665
15302,5665.2196
15303,4945.79443
15304,4684.89321
15305,4684.89321
15306,6443.2569
15307,4888.50303
15308,5892.161
15309,6226.28514
15310,7317.95104
15311,5085.84473
15312,5313.37828
15313,6482.70572
15314,4975.88538
15315,4433.53697
15316,8013.62631
15317,5715.0084
15318,7858.68558
15319,8247.52116
15320,7085.06308
15321,6643.9019
15322,2688.02883
15323,5898.01573
15324,2688.02883
15325,6554.97686
15326,6347.56076
15327,4125.75712
15328,7793.44206
15329,7541.6674
15330,5136.93247
15331,5722.57676
15332,6898.39095
15333,6306.55062
15334,5529.06614
15335,8013.62631
15336,4218.32799
15337,7628.6476
15338,6443.2569
15339,5514.66748
15340,6795.88187
15341,5596.22636
15342,5086.60991
15343,6717.44627
15344,6188.47714
15345,4282.70063
15346,6226.28514
15347,6239.53349
15348,5323.30034
15349,6540.10545
15350,4641.00151
15351,6226.28514
15352,5817.18527
15353,6869.7776
15354,4357.82292
15355,4387.74185
15356,5996.07855
15357,6315.23321
15358,7041.38018
15359,4870.62537
15360,4125.75712
15361,5601.20531
15362,6157.05484
15363,6645.56998
15364,4745.46028
15365,4393.52743
15366,4745.46028
15367,7554.4683
15368,4850.03746
15369,5628.8828
15370,6514.63899
15371,3139.43255
15372,4745.46028
15373,6249.47082
15374,5596.22636
15375,5514.66748
15376,5794.89185
15377,5601.20531
15378,4644.60117
15379,6131.30938
15380,7317.95104
15381,6236.70711
15382,5750.88107
15383,7317.95104
15384,5388.50369
15385,3804.61017
15386,3662.18313
15387,3983.09785
15388,6746.4546
15389,6189.7798
15390,8166.59786
15391,6539.11085
15392,7175.06898
15393,5772.91016
15394,5996.07855
15395,5544.62172
15396,6806.49269
15397,6754.44894
15398,5971.39402
15399,5746.77703
15400,4830.95981
15401,6244.19576
15402,6263.80788
15403,6260.47363
15404,7241.37053
15405,7380.6338
15406,8212.79289
15407,5773.62581
15408,7588.36096
15409,5720.72316
15410,5914.16491
15411,8247.52116
15412,6475.89456
15413,6801.49205
15414,5781.85965
15415,5964.79111
15416,6887.46649
15417,5817.18527
15418,7554.4683
15419,4350.42467
15420,3895.62684
15421,6376.66256
15422,3626.36653
15423,6480.80815
15424,6514.63899
15425,6941.82413
15426,3712.99786
15427,7626.61733
15428,6422.92209
15429,7317.95104
15430,7064.16978
15431,5597.02216
15432,5305.74363
15433,4644.60117
15434,8357.06722
15435,3998.05416
15436,4694.60819
15437,4947.60566
15438,5647.71226
15439,6749.51819
15440,5663.06579
15441,6717.44627
15442,5291.89688
15443,4667.72494
15444,5628.71053
15445,3471.19214
15446,6608.04163
15447,6543.97182
15448,7907.24067
15449,8263.28974
15450,7136.98445
15451,5424.12351
15452,4418.44126
15453,7399.87589
15454,6279.3385
15455,8413.65966
15456,6412.47345
15457,6663.00068
15458,5601.20531
15459,6299.22636
15460,5675.72149
15461,4898.83586
15462,5395.33158
15463,6663.00068
15464,6370.89887
15465,6795.88187
15466,7303.58812
15467,7198.42285
15468,3471.19214
15469,2605.69676
15470,7381.97333
15471,7241.37053
15472,7215.40971
15473,5377.27086
15474,6645.56998
15475,5085.84473
15476,5322.84043
15477,5663.06579
15478,4694.60819
15479,7380.6338
15480,6752.17704
15481,6409.14001
15482,6663.00068
15483,6836.39728
15484,6461.67087
15485,7428.83442
15486,6320.23893
15487,7825.87492
15488,6822.97163
15489,5575.39447
15490,6529.98232
15491,6628.76363
15492,5482.0813
15493,7322.60914
15494,6422.92209
15495,7085.06308
15496,6696.23571
15497,4667.72494
15498,6731.61844
15499,6826.20873
15500,7517.44077
15501,5524.14541
15502,7576.39253
15503,7440.71201
15504,6328.89332
15505,6301.03442
15506,4310.6254
15507,4480.07
15508,6325.26613
15509,3837.51296
15510,5086.60991
15511,6451.10052
15512,5333.97357
15513,6757.07366
15514,8116.53175
15515,6400.02221
15516,5033.68556
15517,8263.28974
15518,7207.4203
15519,6998.37875
15520,5569.13925
15521,6482.70572
15522,6443.2569
15523,6677.62443
15524,7243.22611
15525,5347.71894
15526,5534.80494
15527,4234.86859
15528,3708.20502
15529,7340.46077
15530,6770.23332
15531,6621.25081
15532,7198.42285
15533,4673.38052
15534,8109.2305
15535,3748.46547
15536,6747.59779
15537,5482.0813
15538,6449.04157
15539,7417.81497
15540,6260.47363
15541,6500.09778
15542,7317.95104
15543,7130.83001
15544,4560.22361
15545,4850.03746
15546,7732.22522
15547,5429.68161
15548,6033.77856
15549,7041.38018
15550,6591.78118
15551,7206.90196
15552,6451.10052
15553,4336.10096
15554,5575.39447
15555,5942.42162
15556,6707.59259
15557,7085.06308
15558,3998.05416
15559,5524.14541
15560,7434.34904
15561,5503.09583
15562,7565.10416
15563,6735.24371
15564,3968.33018
15565,6500.09778
15566,7019.69438
15567,6491.22353
15568,3447.0821
15569,4340.82151
15570,5246.52146
15571,5313.37828
15572,3941.25512
15573,5862.80545
15574,6263.80788
15575,6475.89456
15576,3943.13168
15577,5828.73212
15578,6708.24129
15579,3244.32926
15580,7628.6476
15581,7340.46077
15582,6830.96605
15583,3139.43255
15584,5446.69747
15585,4057.55521
15586,6281.91711
15587,8086.38881
15588,6443.2569
15589,5628.71053
15590,5246.52146
15591,6010.76008
15592,8013.62631
15593,7159.33666
15594,6795.88187
15595,4248.35505
15596,4433.53697
15597,5033.68556
15598,5291.89688
15599,5649.03716
15600,5367.61826
15601,5942.42162
15602,7517.44077
15603,4865.39997
15604,6638.65649
15605,7241.37053
15606,7184.01384
15607,5794.89185
15608,6779.98166
15609,7399.87589
15610,6589.27898
15611,4802.6043
15612,5018.45303
15613,6465.37205
15614,4387.74185
15615,6292.96076
15616,6274.93484
15617,5313.37828
15618,6663.00068
15619,6779.98166
15620,4737.63925
15621,4100.75917
15622,4125.75712
15623,5356.87186
15624,5291.89688
15625,4125.75712
15626,7400.77538
15627,5424.12351
15628,6135.69998
15629,5722.57676
15630,5347.71894
15631,5696.02606
15632,5852.8742
15633,4867.94772
15634,7064.16978
15635,5124.8549
15636,7532.82953
15637,5755.70016
15638,5674.02852
15639,3708.20502
15640,5596.22636
15641,6979.32479
15642,6717.44627
15643,4350.42467
15644,6226.28514
15645,5446.69747
15646,5602.02293
15647,7998.35059
15648,5647.71226
15649,6795.88187
15650,8212.79289
15651,5524.14541
15652,8254.05731
15653,4913.22292
15654,6998.37875
15655,4503.16186
15656,7270.31832
15657,5424.12351
15658,6598.85404
15659,7231.02778
15660,7660.88604
15661,7322.60914
15662,6475.89456
15663,7303.58812
15664,4340.82151
15665,4057.55521
15666,4830.95981
15667,6808.26361
15668,7293.53617
15669,5428.10602
15670,6543.97182
15671,5711.85174
15672,5124.8549
15673,7136.98445
15674,6292.96076
15675,4546.78674
15676,5462.13394
15677,5322.84043
15678,7457.50606
15679,6614.21931
15680,4546.78674
15681,7357.3589
15682,6361.48951
15683,5755.70016
15684,6503.27204
15685,6503.27204
15686,7793.44206
15687,5495.36535
15688,7340.46077
15689,7340.46077
15690,6663.00068
15691,6301.03442
15692,5291.89688
15693,6683.20061
15694,6554.97686
15695,6198.06496
15696,7243.22611
15697,5424.12351
15698,7340.46077
15699,5482.0813
15700,7222.00462
15701,4016.3616
15702,4493.64409
15703,3139.43255
15704,4162.76156
15705,6135.69998
15706,6543.97182
15707,6058.64876
15708,6318.70872
15709,6986.80996
15710,6998.37875
15711,6318.70872
15712,7267.28344
15713,5534.80494
15714,4100.75917
15715,5449.4212
15716,6475.89456
15717,5329.2632
15718,5395.33158
15719,6198.06496
15720,5996.07855
15721,5347.51393
15722,6746.4546
15723,6493.63712
15724,5124.8549
15725,5356.87186
15726,6929.5548
15727,7236.09025
15728,4898.83586
15729,5449.4212
15730,4813.45285
15731,4975.88538
15732,7415.89441
15733,6451.10052
15734,7434.34904
15735,5178.27031
15736,6746.4546
15737,6735.24371
15738,3387.78516
15739,3822.98167
